,query,embedding_output,C1_RT_1,C1_RT_submit,img_name,n_reference,n_select,is_ranked
121,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
122,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
123,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
124,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
125,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
126,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
127,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
128,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
129,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
130,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
131,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
132,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
133,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
134,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
135,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
136,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
137,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
138,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
139,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
140,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
141,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
142,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
143,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
144,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
145,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
146,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
147,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
148,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
149,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
150,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
151,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
152,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
153,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
154,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
155,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
156,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
157,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
158,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
159,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
160,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
161,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
162,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
163,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
164,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
165,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
166,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
167,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
168,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
169,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
170,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
171,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
172,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
173,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
174,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
175,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
176,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
177,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
178,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
179,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
180,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
181,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
182,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
183,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
184,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
185,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
186,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
187,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
188,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
189,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
190,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
191,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
192,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
193,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
194,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
195,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
196,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
197,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
198,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
199,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
200,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
201,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
202,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
203,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
204,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
205,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
206,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
207,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
208,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
209,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
210,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
211,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
212,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
213,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
214,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
215,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
216,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
217,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
218,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
219,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
220,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
221,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
222,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
223,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
224,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
225,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
226,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
227,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
228,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
229,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
230,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
231,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
232,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
233,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
234,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
235,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
236,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
